"Account Name","Website","Account Domain","Type","Account Stage","Account Status","NTEE Code (Map to Sub Sectors)","Non-Profit Sector","Non-Profit Sub-Sector","FRU - Sector","FRU - Subsector","TIER"
"Veterans Multi-Service Center","vmcenter.org","vmcenter.org","Prospect","Prospect","Working","W30: Military, Veterans Organizations","W: Public, Society Benefit - Multipurpose and Other","Public, Society Benefit—Multipurpose - General","Public and Society Benefit","Public & Society Benefit - General","TIER 6"
"Studiotenn","studiotenn.com","studiotenn.com","Prospect","Prospect","Working","A65: Theater","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - General","TIER 6"
"Manship Theatre","manshiptheatre.org","manshiptheatre.org","Prospect","Prospect","Working","A61: Performing Arts Centers","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - General","TIER 6"
"Grow Dat Youth Farm","growdatyouthfarm.org","growdatyouthfarm.org","Prospect","Prospect","Working","O52: Youth Development-Agricultural","O: Youth Development","Youth Development Orgs Recreation, Sports, or Leisure Activities Org - General","Human Services","Human Services - Sports & Youth Development","TIER 6"
"Philips Academy of Charlotte, NC","philipsacademync.org","philipsacademync.org","Prospect","","Responded","B28: Special Education Institutions, Programs","B: Education","K-12 Education","Education","K-12 Education","TIER 6"
"Crittenton Centers","crittentoncenters.org","crittentoncenters.org","Prospect","Prospect","Working","P33: Child Day Care","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - General","TIER 6"
"Friends of the Rouge","therouge.org","therouge.org","Customer","Customer Active","Customer","C32: Water Resource, Wetlands Conservation and Management","C: Environmental Quality, Protection, and Beautification","Environmental Quality, Protection, and Beautification - General","Environment","Environment - General","TIER 6"
"The James Beard Foundation","jamesbeard.org","jamesbeard.org","Prospect","Engaged Prospect","Meeting Lost","D11: Animal-Related Single Organization Support","D: Animal-Related","Animal Related - General","Animal Welfare","Animal Welfare - General","TIER 6"
"Live Like Bella Foundation","livelikebella.org","livelikebella.org","Prospect","Prospect","Working","G30: Cancer","G: Diseases, Disorders, Medical Disciplines","Cancer Treatment","Healthcare","Healthcare - Cancer","TIER 6"
"Menno Haven","mennohaven.org","mennohaven.org","Prospect","","Responded","P75: Senior Continuing Care Communities","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - General","TIER 6"
"Leadership Greater Chicago","lgcchicago.org","lgcchicago.org","Prospect","","Responded","S50: Nonprofit Management","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","TIER 6"
"Hospice of Marion County","hospiceofmarion.org","hospiceofmarion.org","Prospect","Prospect","Responded","P74: Hospice","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - Housing, Shelter","TIER 6"
"Adult & Teen Challenge of Texas","teenchallengetx.org","teenchallengetx.org","Prospect","","Responded","F00: Mental Health: General","F: Mental Health, Crisis Intervention","Mental health and crisis intervention org - General","Healthcare","Healthcare - Mental Health, Abuse","TIER 6"
"SHELTER, Inc.","shelterinc.org","shelterinc.org","Prospect","Prospect","Working","L41: Homeless, Temporary Shelter","L: Housing, Shelter","Temporary Shelter for the Homeless","Human Services","Human Services - Housing, Shelter","TIER 6"
"United Way of Denton County","unitedwaydenton.org","unitedwaydenton.org","Prospect","Prospect","Working","T00: Philanthropy, Voluntarism, and Grantmaking Foundations: General","T: Philanthropy, Voluntarism, and Grant making Foundations","Philanthropy, Voluntarism, and Grant making Foundations - General","Public and Society Benefit","Public & Society Benefit - General","TIER 6"
"Asian Americans Advancing Justice - Asian Law Caucus","asianlawcaucus.org","asianlawcaucus.org","Prospect","Prospect","Working","I80: Legal Services","I: Crime, Legal Related","Legal Services","Public and Society Benefit","Public & Society Benefit - Crime, Legal","TIER 6"
"Treasure Valley Family YMCA","ymcatvidaho.org","ymcatvidaho.org","Customer","Customer Active","Customer","P20: Human Service Organizations","P: Human Services - Multipurpose and Other","Human Service Organizations","Human Services","Human Services - General","TIER 6"
"ALARM","alarm-inc.org","alarm-inc.org","Prospect","","Meeting Lost","Q30: International Development, Relief Services","Q: International, Foreign Affairs, and National Security","International, Foreign Affairs, and National Security - General","International Affairs","International Affairs - General","TIER 6"
"National Museum of Wildlife Art","wildlifeart.org","wildlifeart.org","Prospect","Prospect","Responded","A51: Art Museums","A: Arts, Culture, and Humanities","Museums","Arts & Culture","Arts & Culture - General","TIER 6"
"Teton Science Schools","tetonscience.org","tetonscience.org","Prospect","Prospect","Meeting Rescheduled","B90: Educational Services","B: Education","Education related Org - General","Education","Education - General","TIER 6"
"Volunteers of America of Minnesota","voamn.org","voamn.org","Prospect","","Responded","S80: Community Service Clubs","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","TIER 6"
"Youth Services System","youthservicessystem.org","youthservicessystem.org","Prospect","Prospect","Working","P30: Childrens and Youth Services","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - General","TIER 6"
"Children's Home Society of West Virginia","childhswv.org","childhswv.org","Prospect","Prospect","Working","P32: Foster Care","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - General","TIER 6"
"Possibilities Africa","possibilitiesafrica.org","possibilitiesafrica.org","Prospect","","Meeting Rescheduled","Q33: International Relief","Q: International, Foreign Affairs, and National Security","International Relief","International Affairs","International Affairs - General","TIER 6"
"Variety of Texas","varietytexas.org","varietytexas.org","Customer","Customer Active","Customer","S80: Community Service Clubs","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","TIER 6"
"Variety of Illinois","varietyofillinois.org","varietyofillinois.org","Prospect","","Responded","P00: Human Services: General","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - General","TIER 6"
"Northwest Haiti Christian Mission","nwhcm.org","nwhcm.org","Customer","Churned","Partial Churn","X00: Religion: General","X: Religion Related, Spiritual Development","Religion Related, Spiritual Development - General","Religion","Religion - General","TIER 6"
"501 Collective","501collective.com","501collective.com","Customer","Risky","At-Risk","T01: Philanthropy, Voluntarism and Grantmaking Foundations Alliances and Advocacy","T: Philanthropy, Voluntarism, and Grant making Foundations","Philanthropy, Voluntarism, and Grant making Foundations - General","Public and Society Benefit","Public & Society Benefit - General","TIER 6"
"Power For All","powerforall.org","powerforall.org","Customer","Churned","Partial Churn","C35: Energy Resource Conservation and Development","C: Environmental Quality, Protection, and Beautification","Environmental Quality, Protection, and Beautification - General","Environment","Environment - General","TIER 6"
"BRIC","bricartsmedia.org","bricartsmedia.org","Customer","Customer Active","Customer","A20: Arts, Cultural Organizations","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - General","TIER 6"
"Islamic Network Group","ing.org","ing.org","Customer","Risky","At-Risk","X40: Islamic","X: Religion Related, Spiritual Development","Islamic","Religion","Religion - Islamic","TIER 6"
"Auxilio","auxilio.partners","auxilio.partners","Partner","","Responded","F80: Mental Health Association","F: Mental Health, Crisis Intervention","Mental health and crisis intervention org - General","Healthcare","Healthcare - Mental Health, Abuse","TIER 6"
"United Way Fresno and Madera Counties","uwfm.org","uwfm.org","Prospect","Prospect","Working","T00: Philanthropy, Voluntarism, and Grantmaking Foundations: General","T: Philanthropy, Voluntarism, and Grant making Foundations","Philanthropy, Voluntarism, and Grant making Foundations - General","Public and Society Benefit","Public & Society Benefit - General","TIER 6"
"Veterans Care Charity","veteranscarecharity.org","veteranscarecharity.org","Prospect","","Self-Onboarding","P00: Human Services: General","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - General","TIER 6"
"MIGIZI","migizi.org","migizi.org","Prospect","Prospect","Working","A34: Radio","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - Media","TIER 6"
"John Muir Land Trust","jmlt.org","jmlt.org","Prospect","","Self-Onboarding","C34: Land Resources Conservation","C: Environmental Quality, Protection, and Beautification","Environmental Quality, Protection, and Beautification - General","Environment","Environment - General","TIER 6"
"Paws4Ever","paws4ever.org","paws4ever.org","Prospect","","Working","D20: Animal Protection and Welfare","D: Animal-Related","Animal Welfare","Animal Welfare","Animal Welfare - General","TIER 6"
"United Way of SEMO","unitedwayofsemo.org","unitedwayofsemo.org","Prospect","","Responded","T00: Philanthropy, Voluntarism, and Grantmaking Foundations: General","T: Philanthropy, Voluntarism, and Grant making Foundations","Philanthropy, Voluntarism, and Grant making Foundations - General","Public and Society Benefit","Public & Society Benefit - General","TIER 6"
"Fuel Relief Fund","fuelrelieffund.org","fuelrelieffund.org","Prospect","","Meeting Rescheduled","M20: Disaster Preparedness and Relief Service","M: Public Safety","Disaster Preparedness and Relief Service","Human Services","Human Services - Public Safety","TIER 6"
"Boys & Girls Club of San Marcos","bgcburbank.org","bgcburbank.org","Prospect","Prospect","Working","O20: Youth Centers, Boys and Girls Clubs","O: Youth Development","Youth Development Orgs Recreation, Sports, or Leisure Activities Org - General","Human Services","Human Services - Sports & Youth Development","TIER 6"
