"Account Name","Website","Account Domain","Type","Account Stage","Account Status","NTEE Code (Map to Sub Sectors)","Non-Profit Sector","Non-Profit Sub-Sector","FRU - Sector","FRU - Subsector","TIER"
"Apptio, Inc.","apptio.com","apptio.com","Prospect","","Responded","U40: Engineering and Technology Research, Services","U: Science and Technology","Science & Technology Research Institutes, Services - General","Science & Technology","Science & Technology - General","-"
"SD Ducks Sled Hockey","duckssledhockey.org","duckssledhockey.org","Prospect","","Responded","N60: Amateur Sports Clubs, Leagues","N: Recreation, Sports, Leisure, Athletics","Recreation, Sports, or Leisure Activities Org - General","Human Services","Human Services - Sports & Youth Development","-"
"Themawfoundation","themawfoundation.org","themawfoundation.org","Prospect","","Responded","F60: Counseling Support Groups","F: Mental Health, Crisis Intervention","Mental health and crisis intervention org - General","Healthcare","Healthcare - Mental Health, Abuse","-"
"Cornell University","med.cornell.edu","med.cornell.edu","Prospect","","Working","H01: Medical Research Alliances and Advocacy","H: Medical Research","Medical Research - General","Healthcare","Healthcare - General","-"
"Columbia University","law.columbia.edu","law.columbia.edu","Prospect","","Responded","B43: University or Technological Institute","B: Education","Higher Education","Education","Higher Education","-"
"PepsiCo - Donate A Day of Safety","donations.cafamerica.org","donations.cafamerica.org","Customer Sub-Account","","Customer","T20: Private Foundations","T: Philanthropy, Voluntarism, and Grant making Foundations","Private Grant making Foundations","Public and Society Benefit","Public & Society Benefit - General","-"
"American Chamber of Commerce Poland - Corporate Aid for Ukraine","https://www.cafamerica.org/","cafamerica.org","Customer Sub-Account","","Customer","T20: Private Foundations","T: Philanthropy, Voluntarism, and Grant making Foundations","Private Grant making Foundations","Public and Society Benefit","Public & Society Benefit - General","-"
"Hope Cottage","hopecottage.org","hopecottage.org","Prospect","","Working","P30: Childrens and Youth Services","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - General","-"
"The Love We Don't See","thelovewedontsee.org","thelovewedontsee.org","Customer","Churned","Partial Churn","B90: Educational Services","B: Education","Education related Org - General","Education","Education - General","-"
"Animal Humane Society","animalhumanesociety.org","animalhumanesociety.org","Customer","Churned","Partial Churn","D20: Animal Protection and Welfare","D: Animal-Related","Animal Welfare","Animal Welfare","Animal Welfare - General","-"
"Theleadnepal","theleadnepal.org.np","theleadnepal.org.np","Prospect","","Opportunity","Q30: International Development, Relief Services","Q: International, Foreign Affairs, and National Security","International, Foreign Affairs, and National Security - General","International Affairs","International Affairs - General","-"
"T P EQUIPMENT LEASING","fundraiseupinc.onmicrosoft.com","fundraiseupinc.onmicrosoft.com","Prospect","","Responded","T12: Philanthropy, Voluntarism and Grantmaking Foundations Fund Raising and Fund Distribution","T: Philanthropy, Voluntarism, and Grant making Foundations","Philanthropy, Voluntarism, and Grant making Foundations - General","Public and Society Benefit","Public & Society Benefit - General","-"
"Youth for Christ Greater Erie","erieyfc.org","erieyfc.org","Prospect","","Working","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","-"
"University of Colorado Anschutz Medical Campus","cuanschutz.edu","cuanschutz.edu","Prospect","","Responded","B43: University or Technological Institute","B: Education","Higher Education","Education","Higher Education","-"
"Fun Staging","funstaging.com","funstaging.com","Prospect","","Responded","A30: Media, Communications Organizations","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - Media","-"
"CLE","clehaiti.org","clehaiti.org","Prospect","","Responded","Q30: International Development, Relief Services","Q: International, Foreign Affairs, and National Security","International, Foreign Affairs, and National Security - General","International Affairs","International Affairs - General","-"
"Association of National Advertisers","ana.net","ana.net","Prospect","","Responded","S41: Promotion of Business","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","-"
"Beyond the Horizon","bthtech.com","bthtech.com","Prospect","","Opportunity","G84: Autism","G: Diseases, Disorders, Medical Disciplines","Autism","Healthcare","Healthcare - General","-"
"Ana-Email","ana-email.net","ana-email.net","Prospect","","Responded","S50: Nonprofit Management","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","-"
"College of Staten Island","csi.cuny.edu","csi.cuny.edu","Prospect","Prospect","Meeting Lost","B43: University or Technological Institute","B: Education","Higher Education","Education","Higher Education","-"
"Realpeoplereallife","realpeoplereallife.org","realpeoplereallife.org","Prospect","","Responded","P40: Family Services","P: Human Services - Multipurpose and Other","Family Services","Human Services","Human Services - General","-"
"Community Hearts Ran","communityhearts.org","communityhearts.org","Prospect","","Nurture","P20: Human Service Organizations","P: Human Services - Multipurpose and Other","Human Service Organizations","Human Services","Human Services - General","-"
"The Idea Bank","theideabank.com","theideabank.com","Prospect","","Responded","S50: Nonprofit Management","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","-"
"Joooo","joooo.com","joooo.com","Prospect","","Nurture","S50: Nonprofit Management","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","-"
