account_id,account_name_2025,account_name_2024,cohort_2025,in_2024_all_accounts,gpv_2024_usd,gpv_2025_usd,delta_2025_vs_2024_usd,yoy_2025_vs_2024_pct,account_tier_2025,religious_tier_2025,match_type,religious_match_reason
ANFPRBST,Young Muslims,Young Muslims,legacy_2025,yes,143237.00,261990.00,118753.00,82.91,Tier 6 (<$5K),TIER 6,exact_multi_pick_max_volume_2,NTEE Code (Map to Sub Sectors): islam; NTEE Code (Map to Sub Sectors): islamic; Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: islam; FRU - Subsector: islamic; NTEE code family: X (religion related/spiritual development)
ASLSXJES,St. John's Ministries,St. John's Ministries,legacy_2025,yes,210755.00,252174.00,41419.00,19.65,Tier 5 ($5K–10K),TIER 5,exact,Account Name: ministries
ADZBBLSK,Jewish Family Services Vancouver,,new_2025,no,0.00,251421.00,251421.00,,Tier 6 (<$5K),TIER 4,exact,Account Name: jewish; Non-Profit Sector: religion; Non-Profit Sub-Sector: jewish
APZPRXTX,Israel Religious Action Center,Israel Religious Action Center,legacy_2025,yes,240748.00,245849.00,5101.00,2.12,Tier 6 (<$5K),TIER 5,exact,Account Name: religious
AACSFGNL,Heart of the Bride Ministries,Heart of the Bride Ministries,legacy_2025,yes,169736.00,237372.00,67636.00,39.85,Tier 5 ($5K–10K),TIER 5,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): catholic; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
AWVCLFKC,Circuit Riders,Circuit Riders,legacy_2025,yes,243024.00,229834.00,-13190.00,-5.43,Tier 5 ($5K–10K),TIER 5,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
AWWWUEDL,The Send,The Send,legacy_2025,yes,344577.00,226626.00,-117951.00,-34.23,Tier 4 ($10K–$20K),TIER 6,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
AGUNXJTK,American Jewish University,,new_2025,no,0.00,209185.00,209185.00,,Tier 4 ($10K–$20K),TIER 5,exact,Account Name: jewish
AXPJLFAK,Plum Village UK,Plum Village UK,legacy_2025,yes,195062.00,202654.00,7592.00,3.89,Tier 4 ($10K–$20K),TIER 6,exact,Non-Profit Sector: religion; Non-Profit Sub-Sector: religion
ABLRXLFL,CHANGED Movement,CHANGED Movement,legacy_2025,yes,152014.00,199330.00,47316.00,31.13,,-,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
ALJSUMEE,Friends of Agape,Friends of Agape,legacy_2025,yes,137425.00,198448.00,61023.00,44.40,Tier 3 ($20K–$50K),TIER 6,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
AXVLQXBQ,Community Peacemaker Teams,Community Peacemaker Teams,legacy_2025,yes,200838.00,197422.00,-3416.00,-1.70,Tier 6 (<$5K),TIER 5,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
ABREENTP,Desire Street Ministries,Desire Street Ministries,legacy_2025,yes,213721.00,195629.00,-18092.00,-8.47,Tier 5 ($5K–10K),TIER 6,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
AHZGFMPV,Generation Rising,Generation Rising,legacy_2025,yes,150550.00,194833.00,44283.00,29.41,Tier 4 ($10K–$20K),TIER 5,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
AWNQZQDG,St. Marcus,St. Marcus,legacy_2025,yes,160933.00,194413.00,33480.00,20.80,Tier 3 ($20K–$50K),TIER 5,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
ABKLWCBV,Trinity Rescue Mission,Trinity Rescue Mission,legacy_2025,yes,191801.00,191421.00,-380.00,-0.20,Tier 6 (<$5K),TIER 6,exact,Account Name: mission
ASKZRLUS,Guidelines International Ministries,Guidelines International Ministries,legacy_2025,yes,176685.00,190377.00,13692.00,7.75,Tier 6 (<$5K),TIER 5,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): religious; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
AQJCTHTG,Engage Your Destiny,,new_2025,no,0.00,180216.00,180216.00,,Tier 6 (<$5K),TIER 5,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
AQVNNVZC,Ruth and Naomi's Mission,Ruth and Naomi's Mission,legacy_2025,yes,167025.00,178650.00,11625.00,6.96,Tier 6 (<$5K),TIER 5,exact,Account Name: mission
AMKVXYLE,Association of the Miraculous Medal,,new_2025,no,0.00,175097.00,175097.00,,Tier 3 ($20K–$50K),TIER 4,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
AEZWWTHG,Aishel House,Aishel House,legacy_2025,yes,83314.00,173881.00,90567.00,108.71,Tier 4 ($10K–$20K),TIER 6,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
ALDRHZQU,Jennifer LeClaire Ministries,Jennifer LeClaire Ministries,legacy_2025,yes,110025.00,167147.00,57122.00,51.92,Tier 6 (<$5K),TIER 6,exact,Account Name: ministries
AVMNGDTU,Jewish Big Brothers Big Sisters of Los Angeles,Jewish Big Brothers Big Sisters of Los Angeles,legacy_2025,yes,193344.00,151028.00,-42316.00,-21.89,Tier 6 (<$5K),TIER 6,exact,Account Name: jewish
